label,b_e,G_required
staged 120K t=0.1 D=2.5,0.001,inf
staged 120K t=0.1 D=2.5,0.0011574864870826924,inf
staged 120K t=0.1 D=2.5,0.001339774967779032,inf
staged 120K t=0.1 D=2.5,0.0015507714209358793,inf
staged 120K t=0.1 D=2.5,0.001794996964287308,inf
staged 120K t=0.1 D=2.5,0.0020776847305170134,inf
staged 120K t=0.1 D=2.5,0.002404891999991488,inf
staged 120K t=0.1 D=2.5,0.0027836299928834184,inf
staged 120K t=0.1 D=2.5,0.003222014101800648,inf
staged 120K t=0.1 D=2.5,0.0037294377840241325,inf
staged 120K t=0.1 D=2.5,0.004316773839423554,inf
staged 120K t=0.1 D=2.5,0.004996607386924837,inf
staged 120K t=0.1 D=2.5,0.00578350553162306,inf
staged 120K t=0.1 D=2.5,0.006694329500821696,inf
staged 120K t=0.1 D=2.5,0.007748595937280139,inf
staged 120K t=0.1 D=2.5,0.00896889509126561,inf
staged 120K t=0.1 D=2.5,0.010381374872202241,inf
staged 120K t=0.1 D=2.5,0.012016301131913909,inf
staged 120K t=0.1 D=2.5,0.013908706184906817,inf
staged 120K t=0.1 D=2.5,0.016099139461833112,inf
staged 120K t=0.1 D=2.5,0.018634536380731554,inf
staged 120K t=0.1 D=2.5,0.02156922405374761,inf
staged 120K t=0.1 D=2.5,0.024966085379071832,inf
staged 120K t=0.1 D=2.5,0.028897906461628424,inf
staged 120K t=0.1 D=2.5,0.03344893623431454,inf
staged 120K t=0.1 D=2.5,0.03871669169850972,inf
staged 120K t=0.1 D=2.5,0.04481404746557166,inf
staged 120K t=0.1 D=2.5,0.051871654372881576,inf
staged 120K t=0.1 D=2.5,0.06004073899923431,inf
staged 120K t=0.1 D=2.5,0.06949634406607254,inf
staged 120K t=0.1 D=2.5,0.08044107915812841,inf
staged 120K t=0.1 D=2.5,0.0931094621318829,inf
staged 120K t=0.1 D=2.5,0.10777294423719211,inf
staged 120K t=0.1 D=2.5,0.1247457266276664,inf
staged 120K t=0.1 D=2.5,0.14439149289283548,inf
staged 120K t=0.1 D=2.5,0.1671312018731537,inf
staged 120K t=0.1 D=2.5,0.19345210773806518,inf
staged 120K t=0.1 D=2.5,0.2239182006044756,inf
staged 120K t=0.1 D=2.5,0.2591822914115521,inf
staged 120K t=0.1 D=2.5,0.3,inf
staged 120K t=0.1 D=3.5,0.001,inf
staged 120K t=0.1 D=3.5,0.0011574864870826924,inf
staged 120K t=0.1 D=3.5,0.001339774967779032,inf
staged 120K t=0.1 D=3.5,0.0015507714209358793,inf
staged 120K t=0.1 D=3.5,0.001794996964287308,inf
staged 120K t=0.1 D=3.5,0.0020776847305170134,inf
staged 120K t=0.1 D=3.5,0.002404891999991488,inf
staged 120K t=0.1 D=3.5,0.0027836299928834184,inf
staged 120K t=0.1 D=3.5,0.003222014101800648,inf
staged 120K t=0.1 D=3.5,0.0037294377840241325,inf
staged 120K t=0.1 D=3.5,0.004316773839423554,inf
staged 120K t=0.1 D=3.5,0.004996607386924837,inf
staged 120K t=0.1 D=3.5,0.00578350553162306,inf
staged 120K t=0.1 D=3.5,0.006694329500821696,inf
staged 120K t=0.1 D=3.5,0.007748595937280139,inf
